Date,City,Country,Mode,Ridership,Population_Million,Passenger_per_Capita,GDP_Billion_USD,PM25_Mean_ug_m3
2024-03-01,Bangkok,Thailand,ARL,2048462.0,11.27,0.18176237799467612,548.0,21.7
2024-03-01,Bangkok,Thailand,BTS,21604831.0,11.27,1.9170213842058563,548.0,21.7
2024-03-01,Bangkok,Thailand,MRT,15023928.0,11.27,1.333090328305235,548.0,21.7
2024-03-01,Bangkok,Thailand,PK,1468698.0,11.27,0.1303192546583851,548.0,21.7
2024-03-01,Bangkok,Thailand,RL,896462.0,11.27,0.07954409937888199,548.0,21.7
2024-03-01,Bangkok,Thailand,SRT,2173863.0,11.27,0.1928893522626442,548.0,21.7
2024-03-01,Bangkok,Thailand,YL,1074869.0,11.27,0.09537435669920143,548.0,21.7
2024-04-01,Bangkok,Thailand,ARL,1838399.0,11.27,0.16312324755989352,548.0,21.7
2024-04-01,Bangkok,Thailand,BTS,19692179.0,11.27,1.7473095829636203,548.0,21.7
2024-04-01,Bangkok,Thailand,MRT,13108790.0,11.27,1.1631579414374444,548.0,21.7
2024-04-01,Bangkok,Thailand,PK,1334942.0,11.27,0.11845093167701863,548.0,21.7
2024-04-01,Bangkok,Thailand,RL,811450.0,11.27,0.07200088731144631,548.0,21.7
2024-04-01,Bangkok,Thailand,SRT,2215674.0,11.27,0.19659929015084296,548.0,21.7
2024-04-01,Bangkok,Thailand,YL,841601.0,11.27,0.07467622005323869,548.0,21.7
2024-05-01,Bangkok,Thailand,ARL,1916491.0,11.27,0.17005244010647738,548.0,21.7
2024-05-01,Bangkok,Thailand,BTS,20919670.0,11.27,1.856226264418811,548.0,21.7
2024-05-01,Bangkok,Thailand,MRT,13910792.0,11.27,1.23432049689441,548.0,21.7
2024-05-01,Bangkok,Thailand,PK,1552960.0,11.27,0.13779591836734695,548.0,21.7
2024-05-01,Bangkok,Thailand,RL,846552.0,11.27,0.07511552795031055,548.0,21.7
2024-05-01,Bangkok,Thailand,SRT,2080896.0,11.27,0.1846402839396628,548.0,21.7
2024-05-01,Bangkok,Thailand,YL,959349.0,11.27,0.08512413487133984,548.0,21.7
2024-06-01,Bangkok,Thailand,ARL,1939090.0,11.27,0.17205767524401064,548.0,21.7
2024-06-01,Bangkok,Thailand,BTS,21671849.0,11.27,1.922967968056788,548.0,21.7
2024-06-01,Bangkok,Thailand,MRT,14318850.0,11.27,1.270527950310559,548.0,21.7
2024-06-01,Bangkok,Thailand,PK,1649623.0,11.27,0.1463729370008873,548.0,21.7
2024-06-01,Bangkok,Thailand,RL,899389.0,11.27,0.07980381543921916,548.0,21.7
2024-06-01,Bangkok,Thailand,SRT,2144612.0,11.27,0.1902938775510204,548.0,21.7
2024-06-01,Bangkok,Thailand,YL,1055610.0,11.27,0.09366548358473824,548.0,21.7
2024-07-01,Bangkok,Thailand,ARL,2012005.0,11.27,0.17852750665483585,548.0,21.7
2024-07-01,Bangkok,Thailand,BTS,23097302.0,11.27,2.0494500443655723,548.0,21.7
2024-07-01,Bangkok,Thailand,MRT,15313805.0,11.27,1.3588114463176575,548.0,21.7
